Molecule ID,AB,,AC,,AD,,AE,
,Bit (-1),Frequency (-1),Bit (-1),Frequency (-1),Bit (-1),Frequency (-1),Bit (-1),Frequency (-1)
1638,1639,50844,1639,2500,1639,2512,1639,320
401,402,50844,402,2544,402,2572,402,328
760,761,50820,761,1896,761,1893,761,240
163,164,50775,164,1268,164,1272,164,160
1205,1206,50700,1206,622,1206,637,1206,81
977,978,50700,978,1920,978,1941,978,240
542,543,50666,543,2484,543,2524,543,308
765,766,50616,766,3130,766,3165,766,415
1379,1380,50540,1380,1288,1380,1306,1380,160
637,638,50475,638,629,638,637,638,80
1343,1344,50400,1344,3170,1344,3215,1344,375
699,700,50325,700,1270,700,1292,700,160
142,143,50098,143,1290,143,1288,143,166
1516,1517,50050,1517,3624,1517,3804,1517,384
1162,1163,49950,1163,1911,1163,1881,1163,249
1199,1200,49876,1200,3210,1200,3175,1200,410
225,226,49800,226,1893,226,1869,226,240
1,2,49756,2,1064,2,1368,2,304
182,183,49728,183,0,183,0,183,0
509,510,49654,510,639,510,642,510,83
696,697,49494,697,2572,697,2536,697,324
998,999,49421,999,1902,999,1905,999,249
538,539,49421,539,1278,539,1282,539,162
2013,2014,49358,2014,3175,2014,3195,2014,390
535,536,49358,536,1935,536,1938,536,240
1109,1110,49324,1110,1911,1110,1935,1110,249
1861,1862,49280,1862,1260,1862,1262,1862,166
674,675,49136,675,1280,675,1288,675,156
1030,1031,49129,1031,2560,1031,2548,1031,316
1297,1298,49032,1298,1899,1298,1899,1298,237
640,641,48983,641,3200,641,3200,641,405
1968,1969,48910,1969,1268,1969,1286,1969,138
1340,1341,48618,1341,1896,1341,1911,1341,231
1955,1956,48618,1956,2540,1956,2564,1956,312
824,825,48528,825,642,825,652,825,82
1506,1507,48528,1507,1290,1507,1282,1507,160
1345,1346,48525,1346,1875,1346,1890,1346,243
1275,1276,48396,1276,2508,1276,2532,1276,280
1718,1719,48326,1719,1923,1719,1941,1719,222
572,573,48312,573,1911,573,1908,573,249
1869,1870,48240,1870,1893,1870,1887,1870,237
651,652,48240,652,1932,652,1932,652,246
1756,1757,48168,1757,635,1757,639,1757,71
448,449,48024,449,1264,449,1288,449,164
3,4,48020,4,1752,4,1460,4,438
1828,1829,47996,1829,2568,1829,2584,1829,320
1159,1160,47880,1160,2564,1160,2580,1160,324
1823,1824,47854,1824,1887,1824,1911,1824,246
1268,1269,47810,1269,1298,1269,1306,1269,164
2025,2026,47810,2026,1294,2026,1294,2026,166
103,104,47740,104,3220,104,3215,104,415
270,271,47530,271,1935,271,1947,271,249
1184,1185,47530,1185,3085,1185,3150,1185,405
302,303,47460,303,1284,303,1280,303,166
721,722,47376,722,1935,722,1902,722,240
494,495,47376,495,2460,495,2432,495,328
1503,1504,47357,1504,1286,1504,1296,1504,164
1543,1544,47232,1544,1893,1544,1905,1544,243
1643,1644,47215,1644,646,1644,648,1644,83
1930,1931,47215,1931,4382,1931,4368,1931,560
1600,1601,47180,1601,2528,1601,2560,1601,324
1413,1414,47127,1414,3245,1414,3245,1414,410
465,466,47058,466,1935,466,1944,466,219
1773,1774,46900,1774,3786,1774,3822,1774,498
1768,1769,46900,1769,625,1769,636,1769,71
473,474,46860,474,629,474,630,474,83
908,909,46851,909,1926,909,1899,909,249
350,351,46851,351,4529,351,4508,351,546
1845,1846,46830,1846,1917,1846,1923,1846,234
1258,1259,46760,1259,1899,1259,1923,1259,243
1255,1256,46760,1256,638,1256,638,1256,78
1919,1920,46718,1920,1278,1920,1230,1920,162
1741,1742,46690,1742,3684,1742,3780,1742,486
110,111,46620,111,1908,111,1935,111,216
2035,2036,46576,2036,645,2036,646,2036,79
712,713,46575,713,635,713,645,713,83
113,114,46575,114,632,114,636,114,83
1661,1662,46434,1662,1893,1662,1923,1662,249
635,636,46376,636,1926,636,1929,636,249
414,415,46376,415,1280,415,1290,415,162
1197,1198,46368,1198,3145,1198,3120,1198,415
126,127,46368,127,1238,127,1268,127,162
234,235,46368,235,638,235,643,235,82
1783,1784,46240,1784,3180,1784,3165,1784,385
991,992,46240,992,3798,992,3804,992,474
2045,2046,46200,2046,3828,2046,3858,2046,432
621,622,46172,622,1294,622,1280,622,156
569,570,46161,570,1280,570,1278,570,160
787,788,46092,788,1935,788,1914,788,240
1147,1148,46080,1148,2532,1148,2508,1148,328
1452,1453,45990,1453,0,1453,0,1453,0
1080,1081,45885,1081,3220,1081,3225,1081,405
802,803,45885,803,2588,803,2588,803,312
1550,1551,45880,1551,2572,1551,2580,1551,324
186,187,45832,187,2584,187,2600,187,316
1969,1970,45828,1970,4536,1970,4550,1970,581
1789,1790,45828,1790,2600,1790,2600,1790,332
854,855,45696,855,1288,855,1296,855,162
1709,1710,45696,1710,1890,1710,1893,1710,228
634,635,45653,635,0,635,0,635,0
574,575,45627,575,1302,575,1312,575,162
181,182,45560,182,633,182,632,182,78
1786,1787,45402,1787,1278,1787,1294,1787,158
20,21,45359,21,1911,21,1905,21,234
1755,1756,45359,1756,3180,1756,3195,1756,360
1775,1776,45333,1776,1881,1776,1812,1776,210
585,586,45158,586,1935,586,1920,586,234
1013,1014,45091,1014,1878,1014,1947,1014,240
1944,1945,45024,1945,1935,1945,1968,1945,243
1992,1993,45012,1993,1926,1993,1926,1993,249
44,45,44890,45,3822,45,3840,45,486
1186,1187,44823,1187,1266,1187,1286,1187,162
1412,1413,44812,1413,3744,1413,3804,1413,474
304,305,44756,305,1288,305,1294,305,164
334,335,44748,335,2572,335,2584,335,324
1116,1117,44682,1117,1929,1117,1938,1117,237
1313,1314,44616,1314,1905,1314,1941,1314,243
321,322,44550,322,643,322,639,322,80
1225,1226,44484,1226,1294,1226,1304,1226,162
1351,1352,44404,1352,2484,1352,2564,1352,268
603,604,44352,604,2568,604,2536,604,328
1180,1181,44265,1181,0,1181,0,1181,0
1825,1826,44220,1826,1266,1826,1284,1826,156
348,349,44220,349,2508,349,2544,349,324
1012,1013,44220,1013,635,1013,623,1013,79
149,150,44220,150,1920,150,1911,150,234
1645,1646,44154,1646,2548,1646,2560,1646,268
808,809,44135,809,1923,809,1935,809,243
1880,1881,44088,1881,1278,1881,1294,1881,162
1986,1987,44070,1987,2596,1987,2612,1987,320
221,222,43904,222,1312,222,1312,222,166
935,936,43875,936,1274,936,1244,936,164
1129,1130,43758,1130,1923,1130,1950,1130,234
1482,1483,43680,1483,1869,1483,1932,1483,246
1090,1091,43615,1091,1911,1091,1911,1091,240
793,794,43584,794,2572,794,2588,794,312
1140,1141,43456,1141,1905,1141,1926,1141,246
2003,2004,43428,2004,1905,2004,1911,2004,246
897,898,43420,898,621,898,641,898,83
395,396,43392,396,1288,396,1274,396,166
953,954,43392,954,1935,954,1947,954,249
389,390,43392,390,634,390,643,390,81
754,755,43328,755,1920,755,1932,755,246
1502,1503,43328,1503,1270,1503,1280,1503,166
1744,1745,43230,1745,1872,1745,1902,1745,234
646,647,43225,647,1908,647,1914,647,243
1633,1634,43218,1634,1304,1634,1310,1634,166
339,340,43200,340,2592,340,2584,340,332
1415,1416,43200,1416,1286,1416,1288,1416,164
1811,1812,43160,1812,1256,1812,1248,1812,162
1105,1106,43155,1106,1290,1106,1300,1106,164
